iteration,residual,time_seconds
651,4.133639033701e-02,0.027973
652,4.087365196153e-02,0.028026
653,4.041606448659e-02,0.028060
654,3.996357116732e-02,0.028092
655,3.951611587328e-02,0.028143
656,3.907364308198e-02,0.028175
657,3.863609787253e-02,0.028207
658,3.820342591922e-02,0.028239
659,3.777557348533e-02,0.028271
660,3.735248741685e-02,0.028303
661,3.693411513638e-02,0.028336
662,3.652040463700e-02,0.028368
663,3.611130447629e-02,0.028400
664,3.570676377035e-02,0.028433
665,3.530673218787e-02,0.028465
666,3.491115994433e-02,0.028497
667,3.451999779616e-02,0.028529
668,3.413319703507e-02,0.028561
669,3.375070948235e-02,0.028593
670,3.337248748327e-02,0.028625
671,3.299848390150e-02,0.028657
672,3.262865211366e-02,0.028689
673,3.226294600383e-02,0.028721
674,3.190131995819e-02,0.028752
675,3.154372885970e-02,0.028784
676,3.119012808278e-02,0.028816
677,3.084047348812e-02,0.028848
678,3.049472141752e-02,0.028880
679,3.015282868872e-02,0.028912
680,2.981475259040e-02,0.028944
681,2.948045087713e-02,0.028976
682,2.914988176439e-02,0.029008
683,2.882300392371e-02,0.029040
684,2.849977647776e-02,0.029072
685,2.818015899558e-02,0.029104
686,2.786411148778e-02,0.029136
687,2.755159440185e-02,0.029168
688,2.724256861748e-02,0.029200
689,2.693699544199e-02,0.029232
690,2.663483660567e-02,0.029264
691,2.633605425736e-02,0.029296
692,2.604061095989e-02,0.029328
693,2.574846968572e-02,0.029360
694,2.545959381248e-02,0.029392
695,2.517394711872e-02,0.029424
696,2.489149377954e-02,0.029456
697,2.461219836238e-02,0.029488
698,2.433602582281e-02,0.029520
699,2.406294150035e-02,0.029552
700,2.379291111439e-02,0.029584
701,2.352590076006e-02,0.029616
702,2.326187690424e-02,0.029648
703,2.300080638154e-02,0.029681
704,2.274265639038e-02,0.029713
705,2.248739448904e-02,0.029745
706,2.223498859182e-02,0.029777
707,2.198540696522e-02,0.029828
708,2.173861822411e-02,0.029860
709,2.149459132801e-02,0.029893
710,2.125329557739e-02,0.029925
711,2.101470060995e-02,0.029957
712,2.077877639706e-02,0.029989
713,2.054549324007e-02,0.030021
714,2.031482176686e-02,0.030054
715,2.008673292823e-02,0.030086
716,1.986119799444e-02,0.030118
717,1.963818855180e-02,0.030150
718,1.941767649921e-02,0.030182
719,1.919963404480e-02,0.030215
720,1.898403370260e-02,0.030247
721,1.877084828922e-02,0.030279
722,1.856005092060e-02,0.030311
723,1.835161500873e-02,0.030343
724,1.814551425849e-02,0.030376
725,1.794172266449e-02,0.030408
726,1.774021450786e-02,0.030440
727,1.754096435324e-02,0.030472
728,1.734394704564e-02,0.030504
729,1.714913770744e-02,0.030537
730,1.695651173537e-02,0.030569
731,1.676604479755e-02,0.030601
732,1.657771283051e-02,0.030633
733,1.639149203631e-02,0.030665
734,1.620735887967e-02,0.030698
735,1.602529008509e-02,0.030730
736,1.584526263403e-02,0.030762
737,1.566725376214e-02,0.030794
738,1.549124095649e-02,0.030826
739,1.531720195281e-02,0.030859
740,1.514511473285e-02,0.030891
741,1.497495752164e-02,0.030923
742,1.480670878488e-02,0.030955
743,1.464034722630e-02,0.030987
744,1.447585178510e-02,0.031020
745,1.431320163335e-02,0.031052
746,1.415237617348e-02,0.031084
747,1.399335503578e-02,0.031116
748,1.383611807586e-02,0.031148
749,1.368064537227e-02,0.031181
750,1.352691722403e-02,0.031213
751,1.337491414820e-02,0.031245
752,1.322461687757e-02,0.031277
753,1.307600635824e-02,0.031309
754,1.292906374734e-02,0.031342
755,1.278377041070e-02,0.031374
756,1.264010792057e-02,0.031406
757,1.249805805338e-02,0.031438
758,1.235760278752e-02,0.031470
759,1.221872430107e-02,0.031503
760,1.208140496971e-02,0.031535
761,1.194562736448e-02,0.031567
762,1.181137424972e-02,0.031599
763,1.167862858085e-02,0.031652
764,1.154737350240e-02,0.031686
765,1.141759234584e-02,0.031719
766,1.128926862761e-02,0.031757
767,1.116238604703e-02,0.031789
768,1.103692848434e-02,0.031821
